,Drug Name,Cell Line Name,ic50
1312,SL0101,LN-18,5.7680244
1313,Podophyllotoxin bromide,Hs-683,-1.4162965
1314,Tozasertib,MOG-G-CCM,3.2524767
1315,Elesclomol,GAMG,-2.257907
1316,Mycophenolic acid,SF126,0.125803
1317,Cisplatin,SF126,2.0830412
1318,Nilotinib,LNZTA3WT4,3.386754
1319,Obatoclax Mesylate,no-10,1.7540436
1320,ICL-SIRT078,D-502MG,4.7384653
1321,Acetalax,KNS-42,5.290125
1322,Mitoxantrone,SF295,-0.42207193
1323,667880,JEKO-1,0.05208206
1324,AZD5153,RL,-0.26841784
1325,CCT-018159,CAS-1,2.9331274
1326,Teniposide,NU-DUL-1,-3.5254774
1327,Elesclomol,T98G,-0.75908566
1328,UMI-77,Hs-683,1.8322067
1329,CHIR-99021,KALS-1,5.5267715
1330,Bicalutamide,A3-KAW,3.155548
1331,Tozasertib,KINGS-1,5.153672
1332,SL0101,U-87-MG,5.360736
1333,667880,D-542MG,1.1607294
1334,AZD2014,JEKO-1,1.7350235
1335,GSK-LSD1,NMC-G1,6.50453
1336,123138,NMC-G1,5.167345
1337,Tozasertib,AM-38,2.8482952
1338,Acetalax,MC116,4.1859922
1339,Tretinoin,DK-MG,4.2246084
1340,GSK2801,CRO-AP2,3.314865
1341,Acetalax,SU-DHL-4,4.5428715
1342,GSK2830371,CRO-AP2,2.8937654
1343,123138,CRO-AP2,2.0121403
1344,GSK-LSD1,CRO-AP2,1.3786802
1345,Bromosporine,MOG-G-UVW,1.6505871
1346,Fludarabine,no-10,5.1261063
1347,615590,MC116,2.7312841
1348,Tozasertib,DB,0.4197302
1349,Mycophenolic acid,SU-DHL-16,-1.0440516
1350,Gallibiscoquinazole,D-502MG,3.1647358
1351,AZD2014,NU-DUL-1,1.046052
1352,UMI-77,no-10,2.7413845
1353,CHIR-99021,T98G,4.504711
1354,150412,Hs-683,3.0904865
1355,CHIR-99021,LN-18,3.9248924
1356,Dacarbazine,MC116,4.2345314
1357,Cytarabine,D-247MG,3.991952
1358,50869,D-336MG,2.1127472
1359,Teniposide,JEKO-1,-2.0797439
1360,Vinblastine,SU-DHL-4,-5.582718
1361,AZD1332,NMC-G1,5.746604
1362,Remodelin,D-392MG,5.2741985
1363,Dihydrorotenone,D-423MG,0.90560627
1364,Elesclomol,MOG-G-UVW,-2.3839126
1365,Nelarabine,CRO-AP2,4.4964647
1366,Mitoxantrone,D-502MG,1.0629835
1367,50869,SU-DHL-4,1.8853579
1368,Vinblastine,MC116,-6.0931497
1369,GSK-LSD1,JM1,1.7399101
1370,UNC0379,SF295,3.7566557
1371,Bicalutamide,LN-229,4.7386227
1372,123138,JM1,1.470562
1373,Alisertib,JM1,0.6168966
1374,glutathione,D-542MG,9.7006
1375,BEN,MOG-G-CCM,6.3116837
1376,50869,KNS-81-FD,3.3346443
1377,PF-4708671,BC-1,2.6820326
1378,GSK2830371,JM1,3.3979712
1379,glutathione,D-247MG,9.796358
1380,SGC-CBP30,JM1,2.6279478
1381,50869,SF126,2.3458166
1382,743380,SNB75,3.2302752
1383,Bicalutamide,SW1088,4.9157543
1384,Bicalutamide,SU-DHL-10,2.7778883
1385,Ruxolitinib,MOG-G-CCM,5.606716
1386,Dihydrorotenone,SU-DHL-16,-0.7429395
1387,Acetalax,JEKO-1,4.040498
1388,SGC-CBP30,no-10,4.183405
1389,UMI-77,D-423MG,2.4778957
1390,CHIR-99021,TUR,3.2284212
1391,A-366,JM1,2.7265015
1392,SB505124,JSC-1,3.4123125
1393,776928,SU-DHL-4,3.020197
1394,Tretinoin,U-87-MG,5.004817
1395,Remodelin,GI-1,4.5157413
1396,Daporinad,8-MG-BA,-4.3151417
1397,Zoledronate,Hs-683,3.1891851
1398,AZD5438,MC116,0.22689342
1399,PF-4708671,MOG-G-UVW,4.356306
1400,GSK269962A,T98G,1.0580664
1401,XAV939,MOG-G-CCM,4.199402
1402,AZD6482,SCC-3,3.1710796
1403,Remodelin,D-502MG,5.545578
1404,UMI-77,D-566MG,2.1856833
1405,Sinularin,no-10,3.1003847
1406,AZD5438,SU-DHL-16,0.057518005
1407,AZD8055,no-11,1.022255
1408,CPI-637,SU-DHL-4,2.1611252
1409,Dacarbazine,SF295,5.280587
1410,729189,SU-DHL-16,2.7743664
1411,POMHEX,CTB-1,1.1079111
1412,741909,NU-DUL-1,1.2443619
1413,Piperlongumine,AM-38,2.0118923
1414,Piperlongumine,JSC-1,1.6782665
1415,IOX2,8-MG-BA,1.8103218
1416,Acetalax,SF126,4.5027685
1417,CHIR-99021,JSC-1,3.1590605
1418,Zoledronate,KNS-42,3.8059416
1419,UNC0379,CRO-AP2,1.099041
1420,IOX2,A3-KAW,0.8949022
1421,BMS-754807,RC-K8,3.4927206
1422,PRIMA-1MET,MOG-G-CCM,5.5751534
1423,AZD1332,SU-DHL-16,2.1662598
1424,Obatoclax Mesylate,SU-DHL-4,-0.07548618
1425,Tozasertib,H4,0.6450062
1426,50869,JEKO-1,0.66928005
1427,729189,MC116,2.6278238
1428,AZD6482,GB-1,4.531663
1429,Tozasertib,Becker,2.9932938
1430,AZD6482,SLVL,3.1769962
1431,Bleomycin,D-336MG,1.6427832
1432,N-acetyl cysteine,Farage,9.138111
1433,AZD2014,YKG-1,3.0045567
1434,SB505124,U251,4.815236
1435,729189,CRO-AP2,2.8587894
1436,AZD2014,no-11,3.4419546
1437,N-acetyl cysteine,RL,9.281446
1438,I-BET-762,LNZTA3WT4,3.7974596
1439,729189,MOG-G-UVW,3.6245623
1440,AZD1332,D-423MG,3.586379
1441,123829,KNS-81-FD,3.2660465
1442,765771,Hs-683,2.8689594
1443,Dihydrorotenone,NMC-G1,3.1126347
1444,Cytarabine,OCI-LY-19,-2.0179944
1445,SL0101,D-392MG,4.902875
1446,AZD1332,CTB-1,3.0128946
1447,Acetalax,SF295,4.68242
1448,50869,MOG-G-UVW,1.8945856
1449,Carmustine,D-566MG,5.6564074
1450,Tozasertib,SU-DHL-6,-0.90889645
1451,Remodelin,A4-Fuk,4.595912
1452,Remodelin,KARPAS-422,4.7702217
1453,BX795,SF268,3.6391
1454,Bromosporine,no-11,3.8565245
1455,GSK2110183B,JEKO-1,1.5998621
1456,GSK2830371,RC-K8,5.086177
1457,SL0101,TUR,3.9648743
1458,N-acetyl cysteine,SNB75,10.155453
1459,BX795,LNZTA3WT4,3.1193504
1460,Elesclomol,DBTRG-05MG,0.78419876
1461,BEN,D-247MG,5.4279184
1462,UNC0638,D-502MG,5.255584
1463,Podophyllotoxin bromide,SF126,-1.3209019
1464,AZD5153,NMC-G1,5.740282
1465,Elephantin,D-542MG,3.4908848
1466,123829,no-10,3.3107042
1467,SB505124,DB,3.4172049
1468,CHIR-99021,LN-229,4.7090034
1469,BEN,WSU-DLCL2,3.335106
1470,GNE-317,DB,0.14054012
1471,GSK2110183B,D-542MG,2.6322908
1472,alpha-lipoic acid,RL,6.7773285
1473,AZD6482,SU-DHL-5,1.2440252
1474,IOX2,A4-Fuk,1.1683531
1475,AZD8055,CTB-1,-0.90290594
1476,GSK2801,NU-DUL-1,3.8010273
1477,POMHEX,no-11,2.7556124
1478,Bleomycin,YKG-1,2.253868
1479,GSK2830371,NU-DUL-1,2.971964
1480,RVX-208,WSU-DLCL2,3.0893936
1481,Acetalax,MOG-G-UVW,5.1370363
1482,Romidepsin,SF126,-6.1272435
1483,765771,RL,3.0207052
1484,CHIR-99021,YH-13,5.0891542
1485,720427,JM1,2.5846796
1486,Piperlongumine,YH-13,2.27077
1487,PF-4708671,KINGS-1,4.8310575
1488,Cytarabine,Hs-683,0.74703693
1489,720427,JEKO-1,2.9927044
1490,AZD6482,H4,2.930646
1491,SGC-CBP30,SNB75,4.9078045
1492,PF-4708671,SU-DHL-6,2.0977058
1493,CCT-018159,U-87-MG,3.9934397
1494,667880,SF126,0.3701954
1495,743380,JEKO-1,1.1563978
1496,GSK2830371,D-247MG,6.0460424
1497,AZD6482,BC-1,2.4461775
1498,AZ960,LNZTA3WT4,1.457593
1499,AZD2014,JM1,2.5561895
1500,IOX2,SU-DHL-10,0.6100025
1501,IOX2,SW1088,2.8729048
1502,AZD1332,D-502MG,3.1686316
1503,Obatoclax Mesylate,no-11,2.1121035
1504,Podophyllotoxin bromide,KNS-42,0.588295
1505,Gallibiscoquinazole,RL,1.096467
1506,Zoledronate,CTB-1,2.8805494
1507,Cytarabine,KNS-42,2.988493
1508,Tretinoin,D-392MG,4.432193
1509,720427,D-542MG,4.003826
1510,Fludarabine,KNS-42,5.664976
1511,PF-4708671,Becker,4.5221024
1512,615590,SNB75,4.370721
1513,GSK-LSD1,Hs-683,3.0409374
1514,123138,Hs-683,1.809269
1515,AZD1208,OCI-LY-19,3.7378588
1516,720427,CTB-1,3.7778225
1517,CPI-637,RL,2.3189125
1518,Elesclomol,KS-1,-0.9133997
1519,GSK2830371,Hs-683,5.2990685
1520,AZ960,MOG-G-CCM,0.64389515
1521,CCT-018159,Becker,3.7908344
1522,Dihydrorotenone,NU-DUL-1,1.0956974
1523,N-acetyl cysteine,D-336MG,10.016897
1524,Schweinfurthin A,MOG-G-CCM,0.24050426
1525,Elephantin,MC116,1.774847
1526,CCT-018159,YH-13,3.0961905
1527,Cytarabine,YKG-1,2.1662283
1528,Nelarabine,KNS-81-FD,6.459058
1529,Podophyllotoxin bromide,SNB75,0.4134779
1530,MIM1,OCI-LY-19,2.876874
1531,Bicalutamide,SU-DHL-5,2.969555
1532,743380,KNS-81-FD,3.9783688
1533,AZD5438,MOG-G-UVW,0.78114223
1534,630600,JEKO-1,-0.7672658
1535,AZD5438,CRO-AP2,-0.44251108
1536,Vincristine,MOG-G-UVW,-4.116396
1537,Mycophenolic acid,DOHH-2,-1.126636
1538,GSK269962A,GAMG,1.0826073
1539,SB505124,MOG-G-CCM,4.9809895
1540,Cisplatin,D-502MG,2.9829245
1541,615590,JEKO-1,3.021596
1542,GSK2830371,YKG-1,5.4875765
1543,Cisplatin,CTB-1,0.92203236
1544,Remodelin,no-11,5.075713
1545,CCT-018159,A4-Fuk,1.1370144
1546,741909,D-566MG,0.94433975
1547,TW 37,no-11,2.468521
1548,glutathione,RC-K8,9.33585
1549,Veliparib,RC-K8,5.1956806
1550,GSK-LSD1,YKG-1,3.6198168
1551,123138,YKG-1,2.61168
1552,SL0101,M059J,5.536318
1553,AZD2014,MOG-G-CCM,1.3996334
1554,AZD5153,D-247MG,2.6473808
1555,Fludarabine,CTB-1,4.6792097
1556,CCT-018159,SU-DHL-8,2.7791023
1557,GSK2801,KNS-81-FD,5.74835
1558,Obatoclax Mesylate,KNS-81-FD,0.38251972
1559,BEN,JM1,1.8421774
1560,Lenalidomide,RC-K8,4.4470997
1561,AZD2014,NMC-G1,5.7894516
1562,615590,D-542MG,4.14036
1563,BEN,JEKO-1,1.7168093
1564,SB505124,8-MG-BA,3.5417318
1565,Cisplatin,RL,1.5430727
1566,776928,RL,1.8773146
1567,IOX2,A172,2.1421795
1568,BMS-345541,MOG-G-UVW,3.6190424
1569,Zoledronate,NMC-G1,5.979513
1570,Topotecan,Hs-683,-1.1059365
1571,Irinotecan,LNZTA3WT4,1.9139824
1572,Schweinfurthin A,JM1,-2.2676353
1573,BEN,D-542MG,4.6700525
1574,Vincristine,KNS-42,-0.9819269
1575,BMS-345541,LNZTA3WT4,3.3546915
1576,Sinularin,SU-DHL-16,1.7767296
1577,Tretinoin,SW1088,4.7132053
1578,Tretinoin,SU-DHL-10,2.9721508
1579,Elesclomol,U-87-MG,-1.1005478
1580,AZD8055,RL,-1.0091057
1581,L-Oxonoreleagnine,NMC-G1,5.8028555
1582,Vinblastine,SU-DHL-16,-6.484719
1583,Daporinad,A172,-3.0704808
1584,Mitoxantrone,KNS-81-FD,1.7294817
1585,AZD5991,JEKO-1,0.13940716
1586,Dactolisib,LNZTA3WT4,-1.9649215
1587,CHIR-99021,LN-405,5.23563
1588,667880,no-10,1.1510038
1589,IOX2,M059J,3.0157642
1590,741909,WSU-DLCL2,1.9838762
1591,TW 37,no-10,1.9705219
1592,AZD1208,YKG-1,5.199129
1593,50869,SNB75,3.1923828
1594,Obatoclax Mesylate,JEKO-1,0.31553936
1595,TW 37,CAS-1,1.5331097
1596,720427,LNZTA3WT4,4.007001
1597,Dacarbazine,SNB75,5.551734
1598,Gallibiscoquinazole,D-566MG,1.9852924
1599,CPI-637,D-502MG,5.238201
1600,SL0101,SCC-3,4.09566
1601,GSK2830371,SU-DHL-16,3.2247686
1602,SB505124,GRANTA-519,4.956888
1603,SGC-CBP30,SU-DHL-16,3.074956
1604,743380,LNZTA3WT4,1.9609556
1605,AZD1332,OCI-LY-19,2.2253246
1606,Tretinoin,SU-DHL-8,4.1506996
1607,AZD6482,LNZTA3WT4,3.523429
1608,123138,RL,2.1417208
1609,GSK-LSD1,RL,1.9990444
1610,765771,NMC-G1,6.995386
1611,AGK2,no-11,4.1538897
1612,Topotecan,RL,-2.6224546
1613,AZD6482,SF268,3.8810797
1614,GSK2110183B,SNB75,3.385604
1615,Tanespimycin,RC-K8,0.65381527
1616,Romidepsin,MOG-G-CCM,-5.455834
1617,Remodelin,VAL,4.89221
1618,SB505124,GB-1,4.785714
1619,Dihydrorotenone,SU-DHL-4,0.35564613
1620,TW 37,Hs-683,0.2280798
1621,PRT062607,WSU-DLCL2,1.2879763
1622,Mitoxantrone,SF126,-0.8631377
1623,Topotecan,SNB75,1.6745024
1624,Bicalutamide,SF268,4.8426027
1625,BX795,SLVL,2.1218262
1626,Acetalax,SNB75,5.112875
1627,BI-2536,RC-K8,-3.1743617
1628,729189,D-542MG,3.5615273
1629,GDC0810,LNZTA3WT4,5.054989
1630,Tozasertib,KARPAS-422,1.9779758
1631,Remodelin,SU-DHL-6,3.432725
1632,AZD8055,OCI-LY-19,0.6251373
1633,AZD6482,LN-18,4.1033316
1634,Tozasertib,A4-Fuk,-0.9513116
1635,ICL-SIRT078,no-11,5.352009
1636,Dihydrorotenone,CTB-1,1.1238594
1637,Remodelin,SF126,4.4276714
1638,CCT-018159,LN-405,4.2927427
1639,Teniposide,D-247MG,1.3920088
1640,776928,D-502MG,4.712947
1641,Piperlongumine,RC-K8,2.0664644
1642,Rapamycin,Farage,-5.8249483
1643,SL0101,SW1088,5.1243753
1644,SL0101,SU-DHL-10,3.676793
1645,AGI-5198,LNZTA3WT4,4.594184
1646,Bromosporine,CRO-AP2,-0.7195449
1647,Cytarabine,NMC-G1,5.7114506
1648,765771,SU-DHL-16,1.4960575
1649,776928,WSU-DLCL2,2.0962982
1650,743380,SF126,1.8329554
1651,Carmustine,RL,5.2489643
1652,Remodelin,SW1088,5.690093
1653,AZD5153,JM1,0.9894638
1654,5-azacytidine,NMC-G1,6.5432224
1655,Vinblastine,D-502MG,-2.4050803
1656,Carmustine,JM1,4.490653
1657,IOX2,SF268,2.6135607
1658,Bicalutamide,42-MG-BA,4.0874805
1659,alpha-lipoic acid,SU-DHL-16,6.259041
1660,Tretinoin,DBTRG-05MG,6.2197714
1661,729189,NMC-G1,5.7993107
1662,Elesclomol,GI-1,-2.81534
1663,glutathione,DOHH-2,8.019705
1664,N-acetyl cysteine,KNS-42,10.045578
1665,50869,NMC-G1,4.721923
1666,glutathione,Farage,8.101736
1667,Bromosporine,JEKO-1,0.9983587
1668,GSK269962A,DK-MG,2.0173874
1669,Piperlongumine,SU-DHL-10,0.7947874
1670,Piperlongumine,SW1088,3.1372461
1671,Mycophenolic acid,JM1,0.09777355
1672,SB505124,BC-1,2.8700085
1673,UMI-77,YKG-1,2.5101337
1674,CCT-018159,42-MG-BA,2.9249592
1675,Temsirolimus,SU-DHL-6,-4.214532
1676,Bleomycin,D-542MG,2.385229
1677,Gallibiscoquinazole,MOG-G-UVW,1.9425192
1678,AZD5582,WSU-DLCL2,-0.26577425
1679,UNC0638,CRO-AP2,1.9116106
1680,Dacarbazine,D-336MG,5.165575
1681,Dabrafenib,A3-KAW,3.4675016
1682,SB505124,SU-DHL-8,3.833703
1683,AZD1208,SF295,4.8831053
1684,SB505124,MOG-G-UVW,4.9559565
1685,BX795,MOG-G-UVW,1.8565817
1686,UNC0638,MC116,2.3244953
1687,GSK2110183B,JM1,3.19874
1688,SB505124,VAL,3.0219164
1689,GSK2801,LNZTA3WT4,4.8186483
1690,123138,D-247MG,2.9581795
1691,GSK-LSD1,D-247MG,3.2419128
1692,Vinblastine,D-336MG,-4.7148814
1693,L-Oxonoreleagnine,D-502MG,3.5920696
1694,MIM1,YKG-1,3.4399805
1695,Bleomycin,KNS-42,3.1342669
1696,Romidepsin,no-11,-4.9629364
1697,TW 37,RL,-0.061527252
1698,SL0101,LNZTA3WT4,5.301442
1699,720427,D-566MG,3.3437433
1700,630600,no-10,1.52532
1701,UNC0379,D-502MG,3.446949
1702,765771,D-502MG,4.820818
1703,Cytarabine,NU-DUL-1,-1.7851124
1704,Mycophenolic acid,SNB75,2.144328
1705,Mitoxantrone,D-566MG,-0.5688281
1706,L-Oxonoreleagnine,KNS-42,3.763957
1707,ICL-SIRT078,JEKO-1,2.4827309
1708,UNC0638,NU-DUL-1,1.87152
1709,Daporinad,SU-DHL-8,-4.926978
1710,Podophyllotoxin bromide,RL,-2.6027842
1711,PF-4708671,KS-1,4.801564
1712,Elephantin,D-247MG,4.4658833
1713,Elesclomol,DB,-4.1340766
1714,AZD1332,JM1,3.500126
1715,glutathione,KNS-81-FD,9.481285
1716,SL0101,SK-MG-1,5.2563066
1717,Cisplatin,no-10,3.274949
1718,POMHEX,RL,0.8559294
1719,Elesclomol,U251,-1.314784
1720,Dihydrorotenone,D-566MG,1.8099108
1721,Dihydrorotenone,KNS-81-FD,1.112114
1722,150412,SU-DHL-16,2.446889
1723,CCT-018159,TUR,2.152444
1724,Vinblastine,YKG-1,-3.4484444
1725,ICL-SIRT078,D-542MG,4.7724857
1726,Obatoclax Mesylate,D-336MG,0.98604107
1727,Elesclomol,SU-DHL-6,-4.3405857
1728,Sinularin,NU-DUL-1,2.1380463
1729,CCT-018159,SCC-3,2.1562624
1730,Mycophenolic acid,KNS-42,2.475378
1731,LMP744,D-502MG,0.5105696
1732,Talazoparib,LNZTA3WT4,2.0432281
1733,Vinblastine,OCI-LY-19,-6.0293007
1734,5-azacytidine,CRO-AP2,1.2829494
1735,PF-4708671,U-118-MG,4.881899
1736,PFI3,LNZTA3WT4,5.5821133
1737,Carmustine,D-247MG,6.219137
1738,Remodelin,MOG-G-CCM,5.707552
1739,GSK-LSD1,WSU-DLCL2,1.4288197
1740,123138,WSU-DLCL2,1.6871672
1741,AZD8055,JEKO-1,-1.2638612
1742,Vincristine,YKG-1,-2.0142355
1743,N-acetyl cysteine,no-11,10.485964
1744,Tozasertib,LNZTA3WT4,2.399395
1745,SB505124,KINGS-1,5.100047
1746,150412,SNB75,4.0496845
1747,LMP744,WSU-DLCL2,-3.5237865
1748,SB505124,LN-405,5.169181
1749,Rapamycin,SU-DHL-4,-4.858489
1750,Podophyllotoxin bromide,JM1,-1.916059
1751,Gallibiscoquinazole,CRO-AP2,1.662488
1752,AZD6482,GRANTA-519,4.990814
1753,Tozasertib,A3-KAW,-0.76144934
1754,150412,RL,2.937333
1755,Sinularin,MC116,2.2173061
1756,Cisplatin,MC116,0.86663723
1757,AZD5438,SF126,1.996172
1758,123829,SU-DHL-16,1.6852236
1759,Teniposide,YKG-1,-0.07883692
1760,N-acetyl cysteine,SF295,10.09141
1761,GSK2830371,D-502MG,5.7740726
1762,729189,YKG-1,3.4451332
1763,Dacarbazine,NU-DUL-1,4.3342333
1764,CPI-637,no-10,3.974927
1765,SGC-CBP30,D-502MG,5.2352915
1766,Schweinfurthin A,YKG-1,1.6752615
1767,BX795,GRANTA-519,3.3692112
1768,Sinularin,CRO-AP2,1.5822964
1769,PF-4708671,DBTRG-05MG,5.6110735
1770,50869,D-423MG,1.9291382
1771,Bicalutamide,DK-MG,4.782995
1772,TW 37,D-502MG,1.1920109
1773,AZD6482,D-263MG,3.9383936
1774,ML323,LNZTA3WT4,4.7868986
1775,729189,MOG-G-CCM,4.4037447
1776,AZD2014,MC116,1.7312422
1777,Remodelin,D-336MG,5.2629375
1778,TW 37,D-336MG,0.8004627
1779,Elephantin,OCI-LY-19,2.2694225
1780,Topotecan,no-10,0.99419594
1781,AZD1332,WSU-DLCL2,2.9733543
1782,5-azacytidine,SF295,2.2134361
1783,123829,D-423MG,2.4430838
1784,JQ1,U-87-MG,3.841364
1785,CPI-637,KNS-81-FD,5.424861
1786,AZD2014,SU-DHL-16,0.58837795
1787,729189,KNS-42,3.6247034
1788,Obatoclax Mesylate,OCI-LY-19,0.032263756
1789,CHIR-99021,U251,5.0067663
1790,123138,D-566MG,2.0136728
1791,GSK-LSD1,D-566MG,2.2728233
1792,Nelarabine,OCI-LY-19,5.0080576
1793,667880,RL,-0.71762466
1794,Topotecan,D-566MG,-1.3250742
1795,Nelarabine,CTB-1,5.600232
1796,AZD8055,SF295,-0.5400233
1797,AZD2014,RL,2.3787422
1798,alpha-lipoic acid,D-247MG,8.078733
1799,Bicalutamide,M059J,4.88855
1800,A-366,KNS-81-FD,4.272629
1801,50869,no-10,2.7556896
1802,Schweinfurthin A,SNB75,1.5849886
1803,Bicalutamide,Becker,5.051609
1804,CCT-018159,WSU-DLCL2,2.15176
1805,Tretinoin,CAS-1,4.279187
1806,Cytarabine,SU-DHL-4,-1.1349115
1807,Mycophenolic acid,JEKO-1,-0.08744764
1808,743380,RL,1.8443804
1809,Teniposide,D-336MG,-0.5599165
1810,AMG-319,LNZTA3WT4,4.7866344
1811,AZD6482,SW1088,3.3792973
1812,AZD6482,SU-DHL-10,1.5473061
1813,POMHEX,Hs-683,1.8020353
1814,Carmustine,OCI-LY-19,4.8651924
1815,Tozasertib,JSC-1,-0.3405075
1816,150412,no-10,3.3155384
1817,Teniposide,MOG-G-CCM,1.5136509
1818,Podophyllotoxin bromide,MC116,-2.242127
1819,123829,MOG-G-UVW,0.6662092
1820,AZD2014,SF295,2.6742563
1821,SB505124,T98G,4.729559
1822,Tozasertib,KS-1,3.9164505
1823,Elesclomol,SCC-3,-3.3504071
1824,CPI-637,JEKO-1,2.2962818
1825,OTX015,LNZTA3WT4,3.1664324
1826,Acetalax,RL,4.839114
1827,GSK2830371,D-336MG,5.1965256
1828,BX795,DK-MG,3.1176052
1829,Elesclomol,CAS-1,-0.5391302
1830,Tretinoin,42-MG-BA,3.9557571
1831,BEN,MOG-G-UVW,3.617506
1832,776928,D-542MG,4.4389563
1833,IOX2,YH-13,2.457345
1834,Schweinfurthin A,KNS-42,0.6950331
1835,Cisplatin,D-542MG,3.236617
1836,615590,NMC-G1,6.7625523
1837,GSK269962A,DBTRG-05MG,4.1208115
1838,Mycophenolic acid,KNS-81-FD,1.8039846
1839,776928,JEKO-1,2.6631184
1840,alpha-lipoic acid,SF295,7.774846
1841,Elephantin,LNZTA3WT4,3.4064693
1842,Tanespimycin,U-87-MG,-0.0694232
1843,Sabutoclax,LNZTA3WT4,-0.5036073
1844,BX795,Becker,3.7607708
1845,SB505124,LN-18,4.5211086
1846,L-Oxonoreleagnine,D-423MG,2.666007
1847,Zoledronate,JEKO-1,2.230525
1848,AZD5153,WSU-DLCL2,-2.050611
1849,Tozasertib,CAS-1,4.3608522
1850,Mycophenolic acid,no-10,1.7012157
1851,TW 37,DK-MG,1.2441425
1852,Obatoclax Mesylate,Hs-683,0.3750925
1853,Piperlongumine,MOG-G-CCM,3.1657772
1854,Elephantin,YKG-1,4.1567993
1855,5-azacytidine,D-247MG,3.6164389
1856,CCT-018159,GI-1,2.2874994
1857,Podophyllotoxin bromide,no-10,-0.34433985
1858,ICL-SIRT078,D-336MG,4.0799665
1859,AGI-6780,MOG-G-CCM,5.024577
1860,GSK2606414,MOG-G-CCM,4.5902243
1861,N-acetyl cysteine,NU-DUL-1,9.133451
1862,Tretinoin,MOG-G-CCM,4.5373344
1863,alpha-lipoic acid,KNS-81-FD,7.883404
1864,TW 37,LN-405,1.0026865
1865,Vinblastine,JM1,-5.2614174
1866,A-366,KNS-42,4.6572857
1867,TW 37,CTB-1,1.1203756
1868,MIM1,SF295,3.6372232
1869,Remodelin,BC-1,3.5854702
1870,BX795,U-87-MG,3.8662586
1871,Remodelin,SF539,4.935874
1872,AZD5991,NMC-G1,7.0747595
1873,743380,YKG-1,1.93853
1874,Cytarabine,JM1,-1.9482899
1875,123829,D-336MG,1.5140457
1876,BX795,RC-K8,3.0811005
1877,Topotecan,JEKO-1,-2.2121248
1878,L-Oxonoreleagnine,no-10,3.0669823
1879,GSK2110183B,SU-DHL-16,-0.81120586
1880,GSK-LSD1,MC116,1.6734753
1881,123138,MC116,1.3723812
1882,UNC0379,D-542MG,3.867567
1883,BX795,LN-229,4.475542
1884,PRIMA-1MET,MOG-G-UVW,3.411995
1885,CPI-637,KNS-42,4.5119257
1886,Tozasertib,MOG-G-UVW,0.85923004
1887,Gallibiscoquinazole,D-247MG,2.948125
1888,Elephantin,D-423MG,2.849248
1889,615590,CTB-1,3.8395166
1890,Dacarbazine,JM1,3.974433
1891,AZD8055,JM1,0.1366272
1892,GSK2110183B,D-423MG,2.8970642
1893,GSK2830371,RL,3.392846
1894,765771,no-10,3.235386
1895,GSK2801,YKG-1,5.2088366
1896,Fludarabine,D-542MG,5.658846
1897,Bleomycin,NU-DUL-1,1.9102879
1898,PF-4708671,MOG-G-CCM,4.8147125
1899,LMP744,D-423MG,-1.9570026
1900,Vorinostat,LNZTA3WT4,1.5666943
1901,Methotrexate,WSU-DLCL2,-1.0293207
1902,GSK269962A,SU-DHL-5,0.26275444
1903,Remodelin,KALS-1,5.7800903
1904,TW 37,DOHH-2,-1.920742
1905,IOX2,TUR,1.3573227
1906,A-366,SF295,4.3021393
1907,MIM1,KNS-42,4.7221413
1908,150412,LNZTA3WT4,3.2784433
1909,PF-4708671,KARPAS-422,3.5070066
1910,Cisplatin,JM1,0.6407299
1911,Dacarbazine,D-542MG,5.6598425
1912,Vincristine,LNZTA3WT4,-1.2946911
1913,AZD5153,SF295,2.673602
1914,GSK2801,D-423MG,4.070446
1915,GSK2830371,CTB-1,3.5782757
1916,CPI-637,SNB75,4.8607655
1917,LMP744,SU-DHL-16,-4.7401614
1918,GSK2110183B,NMC-G1,6.7170553
1919,GSK269962A,H4,0.7758875
1920,Romidepsin,D-336MG,-6.198093
1921,Bicalutamide,A4-Fuk,3.5566359
1922,ICL-SIRT078,SNB75,4.910489
1923,CCT-018159,U251,3.7358751
1924,GSK269962A,CAS-1,1.8302002
1925,BX795,TK,2.5351467
1926,Fludarabine,SU-DHL-4,3.757062
1927,AZD1208,D-247MG,5.5911818
1928,Sinularin,MOG-G-CCM,4.3445396
1929,Temsirolimus,NU-DUL-1,-3.9785075
1930,SL0101,GRANTA-519,5.592435
1931,AZD5991,CTB-1,-0.28747368
1932,N-acetyl cysteine,no-10,10.048273
1933,Gallibiscoquinazole,YKG-1,2.4578524
1934,WZ4003,MOG-G-CCM,4.71869
1935,SB505124,GAMG,4.9660416
1936,Sinularin,KNS-42,3.4144745
1937,Entinostat,MOG-G-CCM,3.835103
1938,Dacarbazine,MOG-G-CCM,6.0392036
1939,AZD1332,NU-DUL-1,2.680812
1940,5-azacytidine,SU-DHL-4,1.3720989
1941,LMP744,D-566MG,-2.1931372
1942,AZD1208,RL,4.490389
1943,Sinularin,D-542MG,2.969983
1944,Mitoxantrone,D-336MG,0.36906528
1945,Dacarbazine,NMC-G1,7.715193
1946,CCT-018159,SF268,4.046672
1947,743380,no-11,4.042577
1948,TW 37,DBTRG-05MG,2.2076664
1949,SB505124,TK,4.0785913
1950,Elephantin,MOG-G-UVW,2.6731281
1951,CPI-637,JM1,2.739953
1952,Cisplatin,SNB75,3.7160254
